genes,logFC,logCPM,PValue,FDR
2099,6.270024821,8.718944745,2.09E-05,0.212944826
10551,-5.950826899,6.9907952,0.000365912,1
1948,-5.318271412,6.441127004,0.001420482,1
729920,-4.694584856,7.285779593,0.001599807,1
5074,-4.577976919,6.667905533,0.002494527,1
11016,-5.480060299,5.74172529,0.002716699,1
129303,4.28964729,4.92748462,0.003116104,1
102723989,5.041719768,3.454835969,0.003222855,1
105371591,4.482830373,3.552702191,0.003222855,1
388559,4.371406557,3.575803475,0.003222855,1
9001,4.630021803,3.998562192,0.003692891,1
101929234,4.443055302,4.032453175,0.003692891,1
81575,4.160604049,4.477325831,0.003803449,1
120863,4.628644736,3.390625953,0.004013235,1
64943,-4.780979762,5.982370898,0.004300014,1
102723886,4.195208021,3.973964712,0.004372288,1
4952,-4.722995805,5.933224875,0.004752075,1
4298,-4.639972616,5.862962443,0.005652628,1
84669,-4.637121182,5.860551428,0.005652628,1
51276,3.949336526,4.240606096,0.00581208,1
2117,-4.600994425,5.830016675,0.006074715,1
7072,-4.119928523,6.277477367,0.006246824,1
151477,4.388097301,3.150721073,0.007138054,1
101927269,4.388097301,3.150721073,0.007138054,1
114112,3.613876274,5.056179728,0.007244375,1
84329,3.777002865,4.471912011,0.00742366,1
401024,-4.490010933,5.736346611,0.007613775,1
8566,-4.48684681,5.733678958,0.007613775,1
118672,4.081008284,3.642192647,0.007690814,1
374864,3.659958674,4.977151716,0.008024995,1
6446,3.659958674,4.977151716,0.008024995,1
54843,-3.990346148,6.168065641,0.008167063,1
5980,-4.428672811,5.684659948,0.008574942,1
10016,-4.876226193,5.231223255,0.008917347,1
23160,-4.391931644,5.653726698,0.009304594,1
2201,-4.385149727,5.648018976,0.009304594,1
23242,-4.378335778,5.642284957,0.009304594,1
387911,3.998344579,3.087929473,0.00945205,1
6876,3.886920763,3.118254008,0.00945205,1
91137,-4.364610567,5.630737025,0.009699728,1
3927,-3.882466656,6.077294956,0.009987669,1
286097,3.824830926,3.950353386,0.010015528,1
6911,3.701734249,3.983723434,0.010015528,1
7771,3.463315672,5.090720672,0.010136464,1
677849,3.924517279,3.025646827,0.010436639,1
56893,-4.315517187,5.589452964,0.0105577,1
5167,-4.293954752,5.571330853,0.01102373,1
644,-4.293954752,5.571330853,0.01102373,1
80119,3.652871464,4.214095748,0.011435896,1
644096,3.652871464,4.214095748,0.011435896,1
9282,-3.799783062,6.007909146,0.011621501,1
8897,-3.607016238,6.353528822,0.011655623,1
26830,-3.576116007,6.327614396,0.012532194,1
2982,-3.541878158,6.663443558,0.012807673,1
91179,4.405596673,2.822418751,0.012842563,1
138065,4.099255829,2.89447181,0.012842563,1
121952,3.846707277,2.962352697,0.012842563,1
57523,3.256743408,5.328648109,0.013052093,1
51699,-4.196603892,5.489587961,0.013178766,1
22998,-4.196603892,5.489587961,0.013178766,1
7011,-3.728420475,5.94814703,0.013619672,1
10365,-3.717541483,5.939046254,0.013619672,1
162494,3.126338614,7.177079089,0.014049496,1
3142,4.017008797,2.827615372,0.014317937,1
93653,3.88521538,2.863338164,0.014317937,1
23300,-4.153353721,5.453309973,0.014462691,1
5585,-4.153353721,5.453309973,0.014462691,1
25930,-3.673186117,5.901967106,0.015035748,1
23335,-4.133257589,5.43646109,0.015165702,1
340017,3.373334749,4.393598118,0.015165702,1
497258,3.824183281,3.292423441,0.01517558,1
9658,3.733726661,3.318724779,0.01517558,1
677811,-3.661880873,5.892523053,0.015549974,1
58475,-4.112877568,5.419379032,0.015913687,1
51100,-3.630326754,5.866177761,0.016087241,1
5606,3.221121251,5.50548535,0.016150586,1
9453,-3.424326551,6.200720334,0.01658345,1
677800,-3.20991509,7.105013991,0.016644845,1
5518,-3.621599945,5.858895156,0.016648831,1
54537,-5.092643188,4.92943455,0.016669671,1
25941,-4.088035328,5.398563332,0.016710229,1
93035,-4.083853046,5.395059625,0.016710229,1
339005,3.22591181,4.373602283,0.016710229,1
136051,3.385175907,4.077643837,0.016710414,1
5709,-4.0585015,5.373825578,0.017559257,1
7408,-4.045656689,5.363069703,0.017559257,1
5217,-4.041349546,5.359463431,0.017559257,1
8869,3.376833675,4.293568236,0.017559257,1
123283,3.218372578,4.343157521,0.017559257,1
101927027,3.218372578,4.343157521,0.017559257,1
729614,3.660333747,3.625103771,0.017868952,1
129881,3.402649182,3.706116515,0.017868952,1
100507388,4.23612878,2.681775323,0.017997034,1
1641,3.929787936,2.75955511,0.017997034,1
54951,3.081061907,5.313893414,0.018120337,1
4780,-4.015233101,5.33760107,0.01846508,1
65260,3.243874381,4.936638062,0.018493656,1
100169762,-3.155564991,7.140533602,0.019096078,1
100169763,-3.145641551,7.142665814,0.019096078,1
10788,3.015881558,6.486199437,0.019336765,1
100169761,-3.154560932,7.13969009,0.01934481,1
5290,-3.999777284,5.324666303,0.019432432,1
3839,-3.988635152,5.315343178,0.019432432,1
25829,-3.518820725,5.773239891,0.019872777,1
2135,3.292203803,3.992800323,0.019938386,1
100534611,3.584404176,2.766043551,0.020301247,1
100151684,-3.970626794,5.300277538,0.020466524,1
6741,-3.96608936,5.296482095,0.020466524,1
79867,-3.961537611,5.292674892,0.020466524,1
283174,3.213074155,4.241984644,0.020466524,1
1950,3.136018123,4.267723983,0.020466524,1
26782,-3.512540677,5.768012883,0.020612453,1
29115,-3.483937176,5.744215182,0.021388212,1
79868,-3.480723718,5.741542604,0.021388212,1
2539,-3.924597192,5.261784834,0.021573094,1
101928208,3.783488991,3.147793311,0.021593776,1
100874039,3.59652249,3.20466726,0.021593776,1
115560,3.087100425,4.483528422,0.021844311,1
104355295,3.545067686,3.522952321,0.022209555,1
101927455,3.545067686,3.522952321,0.022209555,1
5055,3.410479797,3.566777882,0.022209555,1
171391,3.347618968,3.588042773,0.022209555,1
400242,3.287383121,3.608897544,0.022209555,1
171220,3.173968828,3.649436844,0.022209555,1
57161,3.173968828,3.649436844,0.022209555,1
2274,3.173968828,3.649436844,0.022209555,1
285958,3.173968828,3.649436844,0.022209555,1
105373132,-3.915212381,5.253939344,0.022758476,1
8314,-3.896257601,5.238096269,0.022758476,1
4238,-3.896257601,5.238096269,0.022758476,1
2057,3.10702325,4.658026483,0.022989088,1
100169768,-2.972383856,7.188470674,0.023611071,1
22862,-3.23310526,6.041773708,0.023868432,1
3735,-3.428310421,5.697978681,0.023954624,1
5504,-3.424970494,5.695204389,0.023954624,1
58533,-3.675670331,5.548872619,0.023984714,1
199745,3.146213643,3.922455355,0.024023354,1
83695,-3.877050466,5.222045905,0.024029669,1
9833,-3.877050466,5.222045905,0.024029669,1
100288798,3.207137536,4.135700588,0.024029669,1
826,-3.202578543,6.379609512,0.024324736,1
100169767,-2.980746475,7.204470493,0.02477712,1
9725,-3.184814888,6.364857356,0.024887338,1
64327,-3.401371966,5.675608206,0.024898197,1
100169766,-2.9741645,7.198975678,0.025082173,1
7103,-3.857584165,5.205782661,0.025394418,1
23581,-3.837851608,5.189300722,0.025394418,1
116841,-3.832876008,5.185145362,0.025394418,1
103504728,-4.244021831,4.99251529,0.025623547,1
100169765,-2.960526841,7.187597536,0.025707024,1
91010,-4.320426587,4.763968144,0.025885906,1
26958,-4.278085616,4.728450297,0.025885906,1
220136,3.112687619,3.601107475,0.025885906,1
100169764,-2.955646186,7.183527797,0.026027017,1
514,-3.186349323,6.003056355,0.026114037,1
10978,3.279392363,3.145069917,0.026145302,1
101927659,3.279392363,3.145069917,0.026145302,1
100616434,4.044071202,2.535467893,0.026191573,1
51435,3.737730358,2.619603627,0.026191573,1
338427,3.605936941,2.659597348,0.026191573,1
647024,-3.827883188,5.180975859,0.02686131,1
54778,-3.817845411,5.172594031,0.02686131,1
1627,-3.807737305,5.164154441,0.02686131,1
58505,-3.802656569,5.159912732,0.02686131,1
3222,2.973505353,5.085832436,0.027229922,1
10454,2.871758672,5.372159239,0.027432271,1
51166,3.162101747,3.509299409,0.028021548,1
1054,-3.324587696,5.611915825,0.028033959,1
387893,-3.286328576,5.857665503,0.02815641,1
8780,-3.797557877,5.155656276,0.028439881,1
9444,-3.787306114,5.147098705,0.028439881,1
116983,-3.782152785,5.142797377,0.028439881,1
90411,-3.782152785,5.142797377,0.028439881,1
100189032,-3.776980981,5.138480879,0.028439881,1
890,-3.776980981,5.138480879,0.028439881,1
83892,-3.771790571,5.1341491,0.028439881,1
101927746,3.631851689,3.026503851,0.028891018,1
84695,3.444885188,3.087301879,0.028891018,1
677830,-3.317400337,5.605959239,0.029192115,1
51333,3.062869905,4.29281048,0.029256302,1
101928445,3.235704908,3.763055148,0.029262122,1
100505894,3.184090258,3.781373832,0.029262122,1
2705,3.08609084,3.817085934,0.029262122,1
200916,2.994327002,3.851630713,0.029262122,1
9716,-3.116019958,5.944922856,0.029553448,1
51175,3.023611188,4.504758596,0.029896987,1
100505854,2.876131538,4.555880043,0.029896987,1
4151,2.818247322,5.063845728,0.030135378,1
55040,-3.745554664,5.112257112,0.030140736,1
5476,-3.74024974,5.107831299,0.030140736,1
441234,3.072888809,4.068742428,0.030140736,1
9124,3.032760368,4.083275165,0.030140736,1
79684,2.754922484,6.11185685,0.030563302,1
26996,-3.070972042,5.907751183,0.031494085,1
5580,-3.713428513,5.085458698,0.03197569,1
222171,-3.70255883,5.076393735,0.03197569,1
9166,-3.70255883,5.076393735,0.03197569,1
90853,2.695107508,7.100994929,0.032610547,1
24137,-3.251050086,5.55101274,0.03306013,1
3855,-3.235881814,5.538461912,0.03306013,1
23152,-3.020947736,6.229251684,0.033165273,1
10438,2.784972518,4.847794055,0.033277561,1
8940,-3.686099191,5.062668947,0.033957936,1
23210,-3.680570648,5.058059542,0.033957936,1
9841,-3.669449595,5.048788225,0.033957936,1
9060,2.975528221,4.216936069,0.03419921,1
100335030,2.905910513,4.242617324,0.03419921,1
3556,2.839498148,4.267658802,0.03419921,1
57128,2.884892431,4.457113037,0.034370009,1
51149,2.855421135,4.46781123,0.034370009,1
84458,-3.228237453,5.532138115,0.03449586,1
1525,-3.221707746,5.526737183,0.03449586,1
90480,2.690825964,6.555102966,0.035042573,1
144501,-2.74168546,7.043134368,0.035532182,1
92558,-2.98945908,6.20329101,0.035775122,1
3110,2.765307437,5.571314819,0.035775122,1
100293704,3.024897576,3.407286944,0.03596681,1
3832,-3.205058291,5.512969056,0.036013334,1
58986,-3.197248401,5.506512297,0.036013334,1
776,-3.197248401,5.506512297,0.036013334,1
100500847,3.068824196,3.688508154,0.036081194,1
816,2.970824778,3.726212451,0.036081194,1
284498,2.924213393,3.744580774,0.036081194,1
79980,-3.658242149,5.039445993,0.036102225,1
128,-3.643200053,5.026909042,0.036102225,1
148229,3.014786657,3.970458028,0.036102225,1
441250,2.681828988,6.358506305,0.036167509,1
10120,2.774016077,5.214650076,0.03699782,1
51125,-2.976423241,5.829892478,0.037122125,1
1964,-2.882958839,6.399532155,0.037299737,1
8863,-3.18150063,5.493495985,0.037618327,1
374354,-3.18150063,5.493495985,0.037618327,1
360132,2.860173261,4.204693481,0.038107486,1
29993,-3.624087762,5.010982627,0.038425085,1
790,-3.621204727,5.00858045,0.038425085,1
84832,-3.614493812,5.002989123,0.038425085,1
10193,-3.61252089,5.00134542,0.038425085,1
8031,-3.600860529,4.991631503,0.038425085,1
4860,-3.600860529,4.991631503,0.038425085,1
85457,-3.600860529,4.991631503,0.038425085,1
140699,-4.07048212,4.55446399,0.039254467,1
9673,-3.157551904,5.473708855,0.039317099,1
401474,-3.134180962,5.454407949,0.039317099,1
9693,-3.133198908,5.453597109,0.039317099,1
23593,-3.133198908,5.453597109,0.039317099,1
4069,3.275417296,2.966463035,0.039731719,1
114757,3.190299205,2.997695465,0.039731719,1
2570,3.109924471,3.028123228,0.039731719,1
105373226,2.715870945,4.420467448,0.039748811,1
5802,-2.643954392,7.44760985,0.039876413,1
100507057,4.004075282,2.334608545,0.039960247,1
101927084,3.82246174,2.382854054,0.039960247,1
100874093,3.82246174,2.382854054,0.039960247,1
406997,3.516120896,2.474103523,0.039960247,1
100500873,3.516120896,2.474103523,0.039960247,1
100272216,3.268213384,2.557483737,0.039960247,1
256126,3.263572345,2.55912846,0.039960247,1
139231,-2.696056371,6.851966941,0.040180943,1
6097,2.812938409,4.16637528,0.040279161,1
23753,2.746526044,4.192636728,0.040279161,1
84447,2.617513138,6.108909388,0.040543315,1
1793,-2.909997272,6.137914587,0.040746681,1
222584,-3.577253213,4.971968535,0.040945072,1
54795,-3.565303095,4.962016905,0.040945072,1
2074,-3.559290711,4.957010475,0.040945072,1
79752,-3.559290711,4.957010475,0.040945072,1
283349,-3.108427761,5.433149652,0.041116446,1
9619,-3.108427761,5.433149652,0.041116446,1
2030,2.609501607,5.617466694,0.041447302,1
64386,2.671688662,5.372937463,0.042299682,1
100500815,-2.909048076,5.766148421,0.042594085,1
6472,2.582690888,6.399077435,0.042781259,1
50808,-3.100075285,5.426257231,0.043023754,1
5066,2.556777698,6.005564109,0.043293789,1
9480,-3.553253166,4.951983407,0.043683065,1
8491,-3.553253166,4.951983407,0.043683065,1
5899,-3.553253166,4.951983407,0.043683065,1
116828,-3.541101743,4.941866668,0.043683065,1
2203,-3.541101743,4.941866668,0.043683065,1
163183,2.826647405,3.917504461,0.043683065,1
7762,2.749591372,3.94896081,0.043683065,1
4582,2.508995957,7.069307104,0.043908117,1
3281,-2.881776895,5.75216248,0.044122746,1
7414,-2.774388772,6.310469754,0.044685097,1
57666,-2.769531785,6.172261132,0.044738706,1
100009613,2.551774673,5.582137114,0.044738706,1
677770,-2.499910873,8.590394841,0.044959214,1
388,-2.625717452,7.08601807,0.045015253,1
25896,-3.07472374,5.405343896,0.045047056,1
6309,-3.066173252,5.39829255,0.045047056,1
2644,2.716470996,4.519619208,0.045047056,1
6434,-2.709723862,6.491135964,0.045070879,1
574029,-3.713169767,4.738123877,0.045106686,1
56652,2.943542823,3.59351699,0.045106686,1
132160,2.845543405,3.633323034,0.045106686,1
57451,2.845543405,3.633323034,0.045106686,1
11191,2.798932019,3.652697192,0.045106686,1
55096,2.753779567,3.671734814,0.045106686,1
27031,2.563267529,5.251170962,0.045535421,1
56243,-2.630302564,6.798179758,0.045603351,1
8777,-2.871961587,5.744113135,0.045723094,1
4832,2.6878654,4.96003646,0.045723094,1
6506,2.776008911,4.292091929,0.046268555,1
10600,-3.504021044,4.911002784,0.046662599,1
55680,-3.497747199,4.90578196,0.046662599,1
5686,-3.491445952,4.900538674,0.046662599,1
10732,-3.491445952,4.900538674,0.046662599,1
3421,-3.491445952,4.900538674,0.046662599,1
83666,-3.967666863,4.468406559,0.047090186,1
100996724,-3.958758794,4.460954167,0.047090186,1
11155,3.13094484,3.200087227,0.047090186,1
54805,3.13094484,3.200087227,0.047090186,1
10324,2.996356951,3.252596739,0.047090186,1
100506217,2.785152967,3.340030519,0.047090186,1
1479,2.473395274,7.205952077,0.04718857,1
112479,-3.035841045,5.373287456,0.047195102,1
4571,-2.441125173,9.329486974,0.047650983,1
151636,-3.117438661,5.085523851,0.047833658,1
56154,2.546535405,5.223798619,0.048478885,1
57489,-3.0238806,5.363431412,0.049477426,1
11264,2.482270954,6.145879965,0.049685858,1
283989,-3.478760286,4.889983931,0.049910266,1
57599,-3.472375376,4.884672076,0.049910266,1
4052,-3.465962084,4.87933696,0.049910266,1
9684,-3.465962084,4.87933696,0.049910266,1
27342,-3.459520155,4.873978379,0.049910266,1
994,-3.453049332,4.868596124,0.049910266,1
